[ 2012-04-17T00:00:36+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.002315s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002439s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001562s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001376s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003064s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.003708s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.002047s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003854s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.004002s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  stauts bffe8e837ec1318f1ff470142fe54840.php 第 105 行.
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.020817s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.020924s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.001842s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.001408s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001262s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001322s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.006038s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003060s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003133s ]
[ 2012-04-17T00:00:48+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.001865s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002014s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001441s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001330s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002872s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.003732s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001199s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.002684s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.002760s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  stauts bffe8e837ec1318f1ff470142fe54840.php 第 105 行.
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.020322s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.020408s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.001323s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.001363s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001238s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001416s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.005524s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003105s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003194s ]
[ 2012-04-17T00:01:37+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.001047s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001203s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000711s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000540s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001364s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.005651s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001749s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000924s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001008s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  stauts bffe8e837ec1318f1ff470142fe54840.php 第 105 行.
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.014961s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.015049s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.000555s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.000578s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000375s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000545s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002275s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002202s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002306s ]
[ 2012-04-17T00:02:32+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.000997s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001128s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000679s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000625s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001415s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.003845s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001108s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001648s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001747s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  stauts bffe8e837ec1318f1ff470142fe54840.php 第 105 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001355s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001428s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.000519s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.000668s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000356s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002269s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002239s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002342s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.000931s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001054s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000512s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001260s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.004448s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001833s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001031s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001153s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  stauts bffe8e837ec1318f1ff470142fe54840.php 第 105 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001268s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001334s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.000497s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.000525s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000363s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000576s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002156s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at E:\AppServ\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002302s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002414s ]
[ 2012-04-17T00:02:33+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.002070s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002223s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001667s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001503s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003309s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.003091s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001226s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.002569s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.002645s ]
[ 2012-04-17T00:04:30+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
